REVIEW_PANEL|MEDICALSPECIALTY|PRODUCTCODE|DEVICENAME|DEVICECLASS|UNCLASSIFIED_REASON|GMPEXEMPTFLAG|THIRDPARTYFLAG|REVIEWCODE|REGULATIONNUMBER|SUBMISSION_TYPE_ID|DEFINITION|PHYSICALSTATE|TECHNICALMETHOD|TARGETAREA|Implant_Flag|Life_Sustain_support_flag
AN|AN|BRW|Protector, Dental|1||N|N||868.5820|4|||||N|N
AN|AN|BRX|Stool, Anesthesia|1||N|N||868.6700|4|||||N|N
AN|AN|BRY|Cabinet, Table And Tray, Anesthesia|1||N|N||868.6100|4|||||N|N
AN|AN|BSE|Analyzer, Gas, Helium, Gaseous-Phase|2||N|P||868.1640|1|||||N|N
AN|AN|BSF|Absorber, Carbon-Dioxide|1||N|N||868.5310|4|||||N|N
AN|AN|BSI|Algesimeter, Powered|2||N|P||868.1040|4|||||N|N
AN|AN|BSJ|Mask, Gas, Anesthetic|1||N|N||868.5550|4|||||N|N
AN|AN|BSK|Cuff, Tracheal Tube, Inflatable|2||N|P||868.5750|1|||||N|Y
AN|AN|BSN|Filter, Conduction, Anesthetic|2||N|P||868.5130|1|||||N|N
AN|AN|BSO|Catheter, Conduction, Anesthetic|2||N|P||868.5120|1|||||N|N
AN|AN|BSP|Needle, Conduction, Anesthetic (W/Wo Introducer)|2||N|P||868.5150|1|||||N|N
AN|AN|BSR|Stylet, Tracheal Tube|1||N|N||868.5790|4|||||N|N
AN|AN|BSY|Catheters, Suction, Tracheobronchial|1||N|N||868.6810|4|||||N|N
AN|AN|BSZ|Gas-Machine, Anesthesia|2||N|N||868.5160|1|||||N|Y
AN|AN|BTB|Hook, Ether|1||Y|N||868.5420|4|||||N|N
AN|AN|BTC|Bag, Reservoir|1||N|N||868.5320|4|||||N|N
AN|AN|BTI|Compressor, Air, Portable|2||N|P||868.6250|4|||||N|N
AN|AN|BTK|Strap, Head, Gas Mask|1||N|N||868.5560|4|||||N|N
AN|AN|BTL|Ventilator, Emergency, Powered (Resuscitator)|2||N|P||868.5925|1|||||N|Y
AN|AN|BTM|Ventilator, Emergency, Manual (Resuscitator)|2||N|P||868.5915|1|||||N|Y
AN|AN|BTO|Tube, Tracheostomy (W/Wo Connector)|2||N|P||868.5800|1|||||N|Y
AN|AN|BTP|Dropper, Ether|1||Y|N||868.5420|4|||||N|N
AN|AN|BTQ|Airway, Nasopharyngeal|1||N|N||868.5100|4|||||N|N
AN|AN|BTR|Tube, Tracheal (W/Wo Connector)|2||N|N||868.5730|1|||||N|Y
AN|AN|BTS|Tube, Bronchial (W/Wo Connector)|2||N|N||868.5720|1|||||N|Y
AN|AN|BTT|Humidifier, Respiratory Gas, (Direct Patient Interface)|2||N|P||868.5450|1|||||N|N
AN|AN|BTY|Calculator, Predicted Values, Pulmonary Function|2||N|P||868.1890|1|||||N|N
AN|AN|BWB|Forceps, Tube Introduction|1||N|N||868.5780|4|||||N|N
AN|AN|BWC|Needle, Emergency Airway|2||N|P||868.5090|1|||||N|Y
AN|AN|BWF|Spirometer, Therapeutic (Incentive)|2||N|P||868.5690|1|||||N|N
AN|AN|BWL|Apparatus, Electronanesthesia|3||N|N||868.5400|2|Call for PMAs 12/26/96 (61 FR 50706 (9/27/96))||||N|N
AN|AN|BXA|Analyzer, Gas, Water Vapor, Gaseous-Phase|1||N|N||868.1975|4|||||N|N
AN|AN|BXH|Gauge, Gas Pressure, Cylinder/Pipeline|1||N|N||868.2610|4|||||N|N
AN|AN|BXJ|Clip, Nose|1||Y|N||868.6225|4|||||N|N
AN|AN|BXK|Gas, Calibration (Specified Concentration)|1||N|N||868.6400|4|||||N|N
AN|AN|BXL|Algesimeter, Manual|1||Y|N||868.1030|4|||||N|N
AN|AN|BXM|Stimulator, Nerve, Ac-Powered|2||N|P||868.2775|1|||||N|N
AN|AN|BXN|Stimulator, Nerve, Battery-Powered|2||N|P||868.2775|1|||||N|N
AN|AN|BXO|Transducer, Gas Pressure|1||N|N||868.2900|4|||||N|N
AN|AN|BXP|Transducer, Gas Flow|1||N|N||868.2885|4|||||N|N
AN|AN|BXQ|Rhinoanemometer (Measurement Of Nasal Decongestion)|2||N|P||868.1800|1|||||N|N
AN|AN|BXR|Meter, Airway Pressure (Inspiratory Force)|2||N|P||868.1780|1|||||N|N
AN|AN|BXW|Calibrator, Volume, Gas|1||N|N||868.1870|4|||||N|N
AN|AN|BXX|Calibrator, Pressure, Gas|1||N|N||868.2620|4|||||N|N
